Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,31,11,0.0
2018,1,31,12,0.0
2018,1,31,13,0.0
2018,1,31,14,3.1620828956365585
2018,1,31,15,318.4759733080864
2018,1,31,16,501.8261461853981
2018,1,31,17,551.6407636404037
2018,1,31,18,546.0889061689377
2018,1,31,19,515.1882899999619
2018,1,31,20,520.1626276373863
2018,1,31,21,528.5541598200798
2018,1,31,22,531.1652655601501
2018,1,31,23,428.93471640348434
2018,1,31,24,123.3870010226965
2018,2,1,1,0.0
2018,2,1,2,0.0
2018,2,1,3,0.0
2018,2,1,4,0.0
2018,2,1,5,0.0
2018,2,1,6,0.0
2018,2,1,7,0.0
2018,2,1,8,0.0
2018,2,1,9,0.0
2018,2,1,10,0.0
2018,2,1,11,0.0
2018,2,1,12,0.0
2018,2,1,13,0.0
2018,2,1,14,3.5388779044151306
2018,2,1,15,283.766693174839
2018,2,1,16,481.15918505191803
2018,2,1,17,537.239772439003
2018,2,1,18,532.8166497945786
2018,2,1,19,461.45563691854477
2018,2,1,20,461.7841409444809
2018,2,1,21,461.25100070238113
2018,2,1,22,421.2985194325447
2018,2,1,23,351.00269186496735
2018,2,1,24,109.26677422225475
2018,2,2,1,0.0
2018,2,2,2,0.0
2018,2,2,3,0.0
2018,2,2,4,0.0
2018,2,2,5,0.0
2018,2,2,6,0.0
2018,2,2,7,0.0
2018,2,2,8,0.0
2018,2,2,9,0.0
2018,2,2,10,0.0
2018,2,2,11,0.0
2018,2,2,12,0.0
2018,2,2,13,0.0
2018,2,2,14,0.9866999387741089
2018,2,2,15,204.72445112466812
2018,2,2,16,346.44824185967445
2018,2,2,17,409.36091178655624
2018,2,2,18,421.38074469566345
2018,2,2,19,391.58732157945633
2018,2,2,20,389.8470303416252
2018,2,2,21,378.28443282842636
2018,2,2,22,370.6264590024948
2018,2,2,23,279.52225202322006
2018,2,2,24,79.53458048030734
2018,2,3,1,0.0
2018,2,3,2,0.0
2018,2,3,3,0.0
2018,2,3,4,0.0
2018,2,3,5,0.0
2018,2,3,6,0.0
2018,2,3,7,0.0
2018,2,3,8,0.0
2018,2,3,9,0.0
2018,2,3,10,0.0
2018,2,3,11,0.0
2018,2,3,12,0.0
2018,2,3,13,0.0
2018,2,3,14,0.0
2018,2,3,15,130.8438491038978
2018,2,3,16,293.9293266944587
2018,2,3,17,355.7823782339692
2018,2,3,18,371.1244231760502
2018,2,3,19,294.3273139297962
2018,2,3,20,288.316856443882
2018,2,3,21,269.29045724868774
2018,2,3,22,291.78169348835945
2018,2,3,23,236.1707751378417
2018,2,3,24,85.28874164260924
2018,2,4,1,0.0
2018,2,4,2,0.0
2018,2,4,3,0.0
2018,2,4,4,0.0
2018,2,4,5,0.0
2018,2,4,6,0.0
2018,2,4,7,0.0
2018,2,4,8,0.0
2018,2,4,9,0.0
2018,2,4,10,0.0
2018,2,4,11,0.0
2018,2,4,12,0.0
2018,2,4,13,0.0
2018,2,4,14,6.340099811553955
2018,2,4,15,250.3677698969841
2018,2,4,16,381.9059711098671
2018,2,4,17,433.7103825211525
2018,2,4,18,439.8976627588272
2018,2,4,19,407.3852301836014
2018,2,4,20,403.1523389220238
2018,2,4,21,398.51567447185516
2018,2,4,22,429.23572915792465
2018,2,4,23,362.42066061496735
2018,2,4,24,128.148010969162
