Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,27,6,0.0
2018,1,27,7,0.0
2018,1,27,8,0.0
2018,1,27,9,0.0
2018,1,27,10,0.0
2018,1,27,11,0.0
2018,1,27,12,0.0
2018,1,27,13,0.0
2018,1,27,14,3.8980147499999998
2018,1,27,15,113.36460333333332
2018,1,27,16,237.0106254166666
2018,1,27,17,283.8723328333333
2018,1,27,18,313.01182137500007
2018,1,27,19,269.7351854166667
2018,1,27,20,271.0792665833334
2018,1,27,21,322.53350616666665
2018,1,27,22,350.45437150000004
2018,1,27,23,304.397326625
2018,1,27,24,123.40119129166666
2018,1,28,1,1.98117
2018,1,28,2,0.0
2018,1,28,3,0.0
2018,1,28,4,0.0
2018,1,28,5,0.0
2018,1,28,6,0.0
2018,1,28,7,0.0
2018,1,28,8,0.0
2018,1,28,9,0.0
2018,1,28,10,0.0
2018,1,28,11,0.0
2018,1,28,12,0.0
2018,1,28,13,0.0
2018,1,28,14,17.677529416666665
2018,1,28,15,189.3882685416667
2018,1,28,16,366.0516373333334
2018,1,28,17,438.07391695833337
2018,1,28,18,432.1119349583334
2018,1,28,19,423.25477016666673
2018,1,28,20,477.4217746666667
2018,1,28,21,541.27493075
2018,1,28,22,537.9153812083333
2018,1,28,23,456.75026070833337
2018,1,28,24,172.1180474583334
2018,1,29,1,2.4384825
2018,1,29,2,0.0
2018,1,29,3,0.0
2018,1,29,4,0.0
2018,1,29,5,0.0
2018,1,29,6,0.0
2018,1,29,7,0.0
2018,1,29,8,0.0
2018,1,29,9,0.0
2018,1,29,10,0.0
2018,1,29,11,0.0
2018,1,29,12,0.0
2018,1,29,13,0.0
2018,1,29,14,28.780357499999997
2018,1,29,15,308.6648348333333
2018,1,29,16,558.1180522083333
2018,1,29,17,588.9457384166665
2018,1,29,18,566.8302260416666
2018,1,29,19,548.0891219583334
2018,1,29,20,552.7357777916667
2018,1,29,21,573.7474171249999
2018,1,29,22,581.8002082916668
2018,1,29,23,486.4812512499999
2018,1,29,24,174.64863220833328
2018,1,30,1,3.3325762500000002
2018,1,30,2,0.0
2018,1,30,3,0.0
2018,1,30,4,0.0
2018,1,30,5,0.0
2018,1,30,6,0.0
2018,1,30,7,0.0
2018,1,30,8,0.0
2018,1,30,9,0.0
2018,1,30,10,0.0
2018,1,30,11,0.0
2018,1,30,12,0.0
2018,1,30,13,0.0
