Year,Month,Day,Period,COPPER_SHEET
2018,1,30,15,39131.83
2018,1,30,16,38638.516
2018,1,30,17,37309.977
2018,1,30,18,35559.184
2018,1,30,19,34551.39
2018,1,30,20,34170.6
2018,1,30,21,34551.55
2018,1,30,22,34221.273
2018,1,30,23,34168.637
2018,1,30,24,35152.164
2018,1,31,1,36587.348
2018,1,31,2,36667.707
2018,1,31,3,36836.594
2018,1,31,4,33602.223
2018,1,31,5,32707.67
2018,1,31,6,31203.207
2018,1,31,7,31561.28
2018,1,31,8,31587.834
2018,1,31,9,32337.59
2018,1,31,10,32945.25
2018,1,31,11,35879.22
2018,1,31,12,37760.65
2018,1,31,13,38448.957
2018,1,31,14,39863.508
2018,1,31,15,39608.598
2018,1,31,16,39375.51
2018,1,31,17,38213.426
2018,1,31,18,37463.82
2018,1,31,19,36227.91
2018,1,31,20,35410.137
2018,1,31,21,34631.992
2018,1,31,22,35231.992
2018,1,31,23,36530.133
2018,1,31,24,37928.215
2018,2,1,1,37765.3
2018,2,1,2,36779.055
2018,2,1,3,35007.14
2018,2,1,4,33909.1
2018,2,1,5,32458.143
2018,2,1,6,30171.887
2018,2,1,7,30153.135
2018,2,1,8,29894.451
2018,2,1,9,31110.3
2018,2,1,10,32575.152
2018,2,1,11,34595.836
2018,2,1,12,36098.12
2018,2,1,13,37665.105
2018,2,1,14,38332.902
2018,2,1,15,37973.715
2018,2,1,16,38349.043
2018,2,1,17,37311.5
2018,2,1,18,36792.06
2018,2,1,19,35648.484
2018,2,1,20,36399.277
2018,2,1,21,36488.414
2018,2,1,22,37336.297
2018,2,1,23,37978.875
2018,2,1,24,37574.3
2018,2,2,1,37467.074
2018,2,2,2,37057.508
2018,2,2,3,34261.32
2018,2,2,4,32686.023
2018,2,2,5,31233.744
2018,2,2,6,32145.559
2018,2,2,7,28337.805
2018,2,2,8,29386.291
2018,2,2,9,29681.96
2018,2,2,10,31067.752
2018,2,2,11,32976.395
2018,2,2,12,35401.938
2018,2,2,13,37391.8
2018,2,2,14,38544.594
2018,2,2,15,38686.035
2018,2,2,16,38083.938
2018,2,2,17,37380.168
2018,2,2,18,36400.43
2018,2,2,19,36010.043
2018,2,2,20,35677.363
2018,2,2,21,35819.566
2018,2,2,22,36245.39
2018,2,2,23,36683.734
2018,2,2,24,36777.047
2018,2,3,1,37575.566
2018,2,3,2,37480.637
2018,2,3,3,35771.477
2018,2,3,4,33587.285
2018,2,3,5,31728.645
2018,2,3,6,30975.19
2018,2,3,7,30666.258
2018,2,3,8,30733.041
2018,2,3,9,31850.357
2018,2,3,10,31274.37
2018,2,3,11,34151.93
2018,2,3,12,34961.38
2018,2,3,13,36177.453
2018,2,3,14,37561.305
2018,2,3,15,37965.04
2018,2,3,16,37901.594
2018,2,3,17,37094.97
2018,2,3,18,36051.055
2018,2,3,19,34739.51
