Year,Month,Day,Period,COPPER_SHEET
2018,1,20,24,36082.855
2018,1,21,1,35742.965
2018,1,21,2,35143.234
2018,1,21,3,34186.418
2018,1,21,4,32698.994
2018,1,21,5,31124.564
2018,1,21,6,29760.865
2018,1,21,7,28852.281
2018,1,21,8,28226.393
2018,1,21,9,27947.25
2018,1,21,10,28018.56
2018,1,21,11,28582.828
2018,1,21,12,29511.475
2018,1,21,13,30435.94
2018,1,21,14,31792.545
2018,1,21,15,32867.164
2018,1,21,16,33583.855
2018,1,21,17,34104.125
2018,1,21,18,34336.598
2018,1,21,19,34330.13
2018,1,21,20,34056.74
2018,1,21,21,34111.918
2018,1,21,22,34416.77
2018,1,21,23,36064.35
2018,1,21,24,37092.832
2018,1,22,1,36916.31
2018,1,22,2,36096.69
2018,1,22,3,34341.633
2018,1,22,4,32243.844
2018,1,22,5,30349.75
2018,1,22,6,29099.977
2018,1,22,7,28617.6
2018,1,22,8,28629.945
2018,1,22,9,29355.467
2018,1,22,10,31085.314
2018,1,22,11,34507.99
2018,1,22,12,38966.637
2018,1,22,13,39409.613
2018,1,22,14,38894.84
2018,1,22,15,38565.56
2018,1,22,16,38230.926
2018,1,22,17,37643.145
2018,1,22,18,37043.246
2018,1,22,19,36463.09
2018,1,22,20,35834.574
2018,1,22,21,35578.418
2018,1,22,22,35892.707
2018,1,22,23,37931.41
2018,1,22,24,40202.05
2018,1,23,1,40602.53
2018,1,23,2,40332.812
2018,1,23,3,39155.2
2018,1,23,4,37183.723
2018,1,23,5,35798.348
2018,1,23,6,35214.387
2018,1,23,7,35347.816
2018,1,23,8,35821.74
2018,1,23,9,36784.16
2018,1,23,10,39054.215
2018,1,23,11,43317.145
2018,1,23,12,47618.7
2018,1,23,13,47828.504
2018,1,23,14,45814.105
2018,1,23,15,43366.527
2018,1,23,16,41084.645
2018,1,23,17,39135.168
2018,1,23,18,37514.215
2018,1,23,19,36499.016
2018,1,23,20,35627.03
2018,1,23,21,35355.637
2018,1,23,22,35864.934
2018,1,23,23,38136.043
2018,1,23,24,40535.652
2018,1,24,1,41140.098
2018,1,24,2,41248.97
2018,1,24,3,40264.03
2018,1,24,4,38437.145
2018,1,24,5,37162.676
2018,1,24,6,36822.004
2018,1,24,7,37042.76
2018,1,24,8,37580.7
2018,1,24,9,38699.668
2018,1,24,10,40935.168
2018,1,24,11,45010.637
2018,1,24,12,49294.99
2018,1,24,13,48945.832
2018,1,24,14,46433.34
2018,1,24,15,43668.582
2018,1,24,16,41312.996
2018,1,24,17,39339.92
2018,1,24,18,37807.387
2018,1,24,19,36655.28
2018,1,24,20,35783.707
2018,1,24,21,35407.16
2018,1,24,22,35665.637
2018,1,24,23,37550.215
2018,1,24,24,40046.93
2018,1,25,1,40759.043
2018,1,25,2,40920.402
2018,1,25,3,40057.895
2018,1,25,4,38401.297
2018,1,25,5,37137.008
2018,1,25,6,36730.152
2018,1,25,7,36856.367
2018,1,25,8,37402.305
2018,1,25,9,38546.723
2018,1,25,10,40835.977
2018,1,25,11,45074.13
2018,1,25,12,49287.26
2018,1,25,13,48783.895
2018,1,25,14,46339.715
2018,1,25,15,43757.426
2018,1,25,16,41631.047
2018,1,25,17,39919.883
2018,1,25,18,38564.63
2018,1,25,19,37601.53
2018,1,25,20,36905.715
2018,1,25,21,36779.59
2018,1,25,22,37315.656
2018,1,25,23,39352.64
2018,1,25,24,41173.734
2018,1,26,1,41333.605
2018,1,26,2,40799.34
2018,1,26,3,38906.918
2018,1,26,4,36432.14
2018,1,26,5,34609.39
2018,1,26,6,33528.152
2018,1,26,7,33011.56
2018,1,26,8,32843.004
2018,1,26,9,33087.258
2018,1,26,10,34402.402
2018,1,26,11,37446.582
2018,1,26,12,40703.72
2018,1,26,13,40653.902
2018,1,26,14,40300.785
2018,1,26,15,40013.027
2018,1,26,16,39382.688
2018,1,26,17,38522.508
2018,1,26,18,37811.734
2018,1,26,19,37107.895
2018,1,26,20,36413.098
2018,1,26,21,36082.24
2018,1,26,22,36165.223
2018,1,26,23,37120.67
2018,1,26,24,37573.656
2018,1,27,1,36930.26
2018,1,27,2,36125.574
2018,1,27,3,34790.887
2018,1,27,4,33019.3
2018,1,27,5,31135.744
2018,1,27,6,29752.549
2018,1,27,7,28851.502
2018,1,27,8,28337.469
2018,1,27,9,28280.482
2018,1,27,10,28582.5
2018,1,27,11,29503.367
2018,1,27,12,31026.85
2018,1,27,13,32509.37
2018,1,27,14,33914.02
2018,1,27,15,34984.91
2018,1,27,16,35473.316
2018,1,27,17,35393.777
2018,1,27,18,34838.676
2018,1,27,19,34114.0
2018,1,27,20,33517.152
2018,1,27,21,33233.297
2018,1,27,22,33333.516
2018,1,27,23,34488.586
2018,1,27,24,35668.023
2018,1,28,1,35511.594
2018,1,28,2,35054.895
2018,1,28,3,34277.266
2018,1,28,4,33169.836
2018,1,28,5,31981.04
2018,1,28,6,31062.713
2018,1,28,7,30568.518
2018,1,28,8,30422.4
2018,1,28,9,30685.6
2018,1,28,10,31298.81
2018,1,28,11,32375.053
2018,1,28,12,33963.496
2018,1,28,13,35307.98
2018,1,28,14,36029.55
2018,1,28,15,35705.402
2018,1,28,16,34961.48
2018,1,28,17,34153.465
2018,1,28,18,33484.664
2018,1,28,19,32984.668
2018,1,28,20,32681.625
2018,1,28,21,32629.54
2018,1,28,22,33002.457
2018,1,28,23,34287.01
2018,1,28,24,36334.707
2018,1,29,1,36528.66
2018,1,29,2,36277.78
2018,1,29,3,35183.0
2018,1,29,4,33566.723
2018,1,29,5,32176.545
2018,1,29,6,31523.656
2018,1,29,7,31423.781
2018,1,29,8,31844.367
2018,1,29,9,32842.402
2018,1,29,10,35106.965
2018,1,29,11,39385.06
2018,1,29,12,43959.13
2018,1,29,13,44133.605
2018,1,29,14,42744.17
2018,1,29,15,41410.848
2018,1,29,16,40135.086
2018,1,29,17,38767.16
2018,1,29,18,37663.332
2018,1,29,19,36741.543
2018,1,29,20,35990.027
2018,1,29,21,35685.23
2018,1,29,22,36087.207
2018,1,29,23,37993.125
2018,1,29,24,40486.883
2018,1,30,1,40938.74
2018,1,30,2,40731.707
2018,1,30,3,39447.88
2018,1,30,4,37468.652
2018,1,30,5,36147.043
2018,1,30,6,35779.098
2018,1,30,7,36027.203
2018,1,30,8,36669.707
2018,1,30,9,37758.934
2018,1,30,10,40017.918
2018,1,30,11,44221.906
2018,1,30,12,48535.547
2018,1,30,13,48095.83
2018,1,30,14,45849.8
2018,1,30,15,43636.895
2018,1,30,16,41635.74
2018,1,30,17,39601.168
2018,1,30,18,38051.855
2018,1,30,19,37054.68
2018,1,30,20,36202.082
2018,1,30,21,35909.914
2018,1,30,22,36253.14
2018,1,30,23,38002.066
2018,1,30,24,40427.836
2018,1,31,1,40786.543
2018,1,31,2,40312.684
2018,1,31,3,39074.63
2018,1,31,4,36873.79
2018,1,31,5,35160.31
2018,1,31,6,34408.816
2018,1,31,7,34201.22
2018,1,31,8,34337.418
2018,1,31,9,35063.824
2018,1,31,10,36891.516
2018,1,31,11,40610.168
2018,1,31,12,44373.348
2018,1,31,13,43610.73
2018,1,31,14,41634.598
2018,1,31,15,39668.324
2018,1,31,16,38034.86
2018,1,31,17,36711.363
2018,1,31,18,35796.348
2018,1,31,19,35412.953
2018,1,31,20,34943.84
2018,1,31,21,34915.21
2018,1,31,22,35068.67
2018,1,31,23,36124.55
2018,1,31,24,37746.613
2018,2,1,1,37587.11
2018,2,1,2,36803.188
2018,2,1,3,35061.64
2018,2,1,4,32709.1
2018,2,1,5,30775.354
2018,2,1,6,29605.232
2018,2,1,7,29218.088
2018,2,1,8,29142.008
2018,2,1,9,29560.979
2018,2,1,10,31001.084
2018,2,1,11,34355.562
2018,2,1,12,38001.754
2018,2,1,13,37737.06
2018,2,1,14,37066.656
2018,2,1,15,36823.176
2018,2,1,16,36636.723
2018,2,1,17,36244.83
2018,2,1,18,36051.004
2018,2,1,19,36023.504
2018,2,1,20,35810.473
2018,2,1,21,35716.715
2018,2,1,22,35798.07
2018,2,1,23,37076.734
2018,2,1,24,38877.41
